index,title,link,image,category
0,짜슐랭,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=BEST&idx=2382,https://ottogi.co.kr/pds/product/2022-05-16_106881874[7].jpg,라면류 > 짜슐랭
1,뿌셔뿌셔 바베큐맛,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=BEST&idx=68,https://ottogi.co.kr/pds/product/2023-05-30_640657863.png,라면스낵류 > 라면스낵류
2,컵누들 우동맛,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=BEST&idx=17,https://ottogi.co.kr/pds/product/2023-05-10_227042245[2].jpg,라면류 > 컵누들
3,진라면 매운맛,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=BEST&idx=37,https://ottogi.co.kr/pds/product/2022-05-16_106881874[3].jpg,라면류 > 진라면 매운맛
4,쇠고기미역국 라면,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=BEST&idx=1902,https://ottogi.co.kr/pds/product/2020-08-26_559409648[3].png,라면류 > 쇠고기미역국라면
5,갈비양념(스파우트팩),https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=BEST&idx=2462,https://ottogi.co.kr/pds/product/2023-01-30_947836675.jpg,조미소스/식품 > 고기양념장
6,오늘밥상 생깻잎무침양념,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=BEST&idx=2466,https://ottogi.co.kr/pds/product/2023-01-30_947836675[8].jpg,조미소스/식품 > 소스류
7,경양식 돈까스소스,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=BEST&idx=2007,https://ottogi.co.kr/pds/product/2019-07-31_76997631.jpg,조미소스/식품 > 육류소스
8,서울식 쇠고기보양탕,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=BEST&idx=2013,https://ottogi.co.kr/pds/product/2022-06-24_506412547[22].jpg,레토르트/간편식 > 탕국찌개류
9,갈릭아이올리소스,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=BEST&idx=2032,https://ottogi.co.kr/pds/product/2020-08-24_345601011[21].png,조미소스/식품 > 상온드레싱
