index,link,body
0,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=BEST&idx=2382,"* 짜슐랭 3스타가이드하나. 고온 로스팅으로 맛을 살린 진한 짜장둘. 파와 양파 기름의 최적 조합이 만들어 내는 향긋한 풍미셋. 더 맛있게! 더 간편하게! 환경을 생각하는 복작복작 조리법* 복작복작 조리법이란? ""적은 물 사용으로 더 간편하게! 더 맛있게!""조리 시 물을 버리지 않아 간편하고, 더욱 맛있게 드실 수 있도록 오뚜기가 추천하는 환경을 생각하는 조리법입니다."
1,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=BEST&idx=68,1. 바삭하고 고소한 면발에 바베큐맛 스프를 골고루 뿌려서 먹는 부숴 먹는 라면스낵입니다.2. 다양한 맛의 스프가 있으므로 입맛과 기분에 따라 골라 드실 수 있습니다.3. 쌀가루 첨가로 더 바삭해진 뿌셔뿌셔
2,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=BEST&idx=17,1. 120kcal 라는 낮은 칼로리의 제품입니다.2. 담백하고 얼큰한 맛을 즐길 수 있는 제품입니다.3. 콜라겐 100mg을 함유하고 있습니다.
3,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=BEST&idx=37,쫄깃하고 부드러운 면발에 진한국물과 얼큰한 양념이 잘 조화된 맛입니다.
4,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=BEST&idx=1902,쇠고기양지와 사골을 우려낸 진한 육수에 쫄깃하고 부드러운 면발과남해안산 청정미역을 가득 넣은 쇠고기미역국 본연의 맛!간편하고 건강하게 라면으로 즐기는 쇠고기미역국 한그릇!
5,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=BEST&idx=2462,양조간장에 7가지 과일과 3가지 야채를 넣고 정성스레 달여 달큰하고 부드러운 고기의 풍미를 높여줍니다.
6,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=BEST&idx=2466,
7,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=BEST&idx=2007,"- 짠맛과 신맛이 강한 기존 딥핑용 소스와 차별화된 부드럽고 깊은 데미글라스 타입의 부어먹는 돈까스소스임- 뉴질랜드산 쇠고기로 정성 들여 육수를 우려냈으며, 우스타소스와 적포도주 및 천연 향신료로 덩구 진한 풍미를 완성해내어 전문 경양식 집에서 먹던 그 맛을 재현하였음- 오므라이스, 소시지 야채볶음, 찹스테이크 등 다양한 응용요리로 활용하면 더욱 맛있음"
8,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=BEST&idx=2013,"<서울>의 맛을 한 그릇에 담다- 쇠고기와 각종 보양재료를 된장베이스의 진한 국물로 우려내고 청양고추를 넣어 깊고 칼칼한 국물맛이 특징인 서울식 보양탕을 재현했습니다.- 쇠고기 양지살과 얼갈이배추, 토란대, 느타리버섯, 칡즙, 헛개나무 추출액 등 최고의 재료로 엄선하여 만들었습니다.* 쇠고기보양탕을 더 맛있게 즐기는 방법- 소면 : 소면(30g)을 삶아 넣고, 부추(30g)와 청양고추를 썰어 넣으시면 더욱 풍성하고 매콤하게 드실 수 있습니다."
9,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=BEST&idx=2032,"- 마늘의 민족에게 걸맞는 깊고 풍부한 프로방스식 갈릭 소스!- 풍부하고 진한 마늘과 겨자씨가 톡톡 씹히는 즐거움이 가득한 유화형 소스!- 샌드위치, 튀김, 빵, 치킨, 새우 등 다양하게 활용되며, 특히 갈릭 아이올리소스의 알싸한 마늘향이 느끼함을 잡아주어 각종 튀김류와 잘 어울림."
